Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 568    Date: 19/09/13    Time: 13:10:11


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
5.579945e-004 2.003100e-002 8.999900e+001
7.783951e-004 2.003100e-002 8.999861e+001
1.085851e-003 2.003100e-002 8.999806e+001
1.514748e-003 2.003100e-002 8.999729e+001
2.113053e-003 2.003100e-002 8.999622e+001
2.947681e-003 2.003100e-002 8.999472e+001
4.111977e-003 2.003100e-002 8.999264e+001
5.736153e-003 2.003100e-002 8.998973e+001
8.001858e-003 2.003100e-002 8.998567e+001
1.116248e-002 2.003100e-002 8.998001e+001
1.557151e-002 2.003100e-002 8.997212e+001
2.172205e-002 2.003100e-002 8.996111e+001
3.030197e-002 2.003100e-002 8.994574e+001
4.227083e-002 2.003100e-002 8.992431e+001
5.896724e-002 2.003100e-002 8.989442e+001
8.225850e-002 2.003100e-002 8.985272e+001
+1.0000E-01  +1.9998E-01  +8.8496E+01
+1.2328E-01  +2.0001E-01  +8.8180E+01
+1.5199E-01  +1.9986E-01  +8.7777E+01
+1.8738E-01  +1.9978E-01  +8.7267E+01
+2.3101E-01  +1.9977E-01  +8.6660E+01
+2.8480E-01  +1.9945E-01  +8.5898E+01
+3.5112E-01  +1.9925E-01  +8.4994E+01
+4.3288E-01  +1.9866E-01  +8.3887E+01
+5.3367E-01  +1.9841E-01  +8.2498E+01
+6.5790E-01  +1.9731E-01  +8.0776E+01
+8.1110E-01  +1.9602E-01  +7.8553E+01
+1.0000E+00  +1.9512E-01  +7.6358E+01
+1.2329E+00  +1.9120E-01  +7.3041E+01
+1.5199E+00  +1.8725E-01  +6.9604E+01
+1.8738E+00  +1.8145E-01  +6.5330E+01
+2.3101E+00  +1.7407E-01  +6.0598E+01
+2.8481E+00  +1.6390E-01  +5.5218E+01
+3.5112E+00  +1.5168E-01  +4.9443E+01
+4.3288E+00  +1.3745E-01  +4.3532E+01
+5.3368E+00  +1.2167E-01  +3.7472E+01
+6.5790E+00  +1.0566E-01  +3.1930E+01
+8.1110E+00  +9.0285E-02  +2.6921E+01
+1.0000E+01  +7.5880E-02  +2.2367E+01
+1.2329E+01  +6.2988E-02  +1.8362E+01
+1.5199E+01  +5.2074E-02  +1.5019E+01
+1.8738E+01  +4.2957E-02  +1.2167E+01
+2.3102E+01  +3.5017E-02  +9.8798E+00
+2.8481E+01  +2.8489E-02  +7.9315E+00
+3.5112E+01  +2.3243E-02  +6.3544E+00
+4.3288E+01  +1.8828E-02  +5.1745E+00
+5.3368E+01  +1.5332E-02  +3.9252E+00
+6.5790E+01  +1.2449E-02  +3.0266E+00
+8.1110E+01  +1.0101E-02  +2.1730E+0
+1.0000E+02  +8.1921E-03  +1.5104E+00
+1.2329E+02  +6.6466E-03  +8.2387E-01
+1.5199E+02  +5.4172E-03  +1.9891E-02
+1.8739E+02  +4.3734E-03  -3.8455E-01
+2.3102E+02  +3.5452E-03  -9.8488E-01
+2.8481E+02  +2.8747E-03  -1.6476E+00
+3.5113E+02  +2.3298E-03  -2.3661E+00
+4.3289E+02  +1.8890E-03  -3.1612E+00
+5.3368E+02  +1.5308E-03  -4.1093E+00
+6.5790E+02  +1.2406E-03  -5.2162E+00
+8.1120E+02  +1.0045E-03  -6.5635E+00
+1.0000E+03  +8.1276E-04  -8.1981E+00
+1.2329E+03  +6.5679E-04  -1.0196E+01
+1.5200E+03  +5.2963E-04  -1.2665E+01
+1.8739E+03  +4.2526E-04  -1.5721E+01
+2.3102E+03  +3.3866E-04  -1.9070E+01
+2.8481E+03  +2.7056E-04  -2.3154E+01
+3.5113E+03  +2.1367E-04  -2.8498E+01
+4.3289E+03  +1.6514E-04  -3.4840E+01
+5.3369E+03  +1.2362E-04  -4.1479E+01
+6.5795E+03  +9.0761E-05  -4.6946E+01
+8.1115E+03  +6.7675E-05  -5.2083E+01
+1.0000E+04  +5.0889E-05  -5.8582E+01
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off
+1.0000E+00  +1.8983E-01  +1.1195E+02
+1.2328E+00  +1.9903E-01  +1.0235E+02
+1.5199E+00  +2.0400E-01  +9.2804E+01
+1.8738E+00  +2.0316E-01  +8.3178E+01
+2.3101E+00  +1.9651E-01  +7.3628E+01
+2.8480E+00  +1.8483E-01  +6.4298E+01
+3.5112E+00  +1.6871E-01  +5.5358E+01
+4.3288E+00  +1.5013E-01  +4.6996E+01
+5.3367E+00  +1.3058E-01  +3.9484E+01
+6.5790E+00  +1.1156E-01  +3.2861E+01
+8.1110E+00  +9.3762E-02  +2.7070E+01
+1.0000E+01  +7.7964E-02  +2.2197E+01
+1.2329E+01  +6.4393E-02  +1.8207E+01
+1.5199E+01  +5.2800E-02  +1.4819E+01
+1.8738E+01  +4.3404E-02  +1.1857E+01
+2.3101E+01  +3.5182E-02  +9.7199E+00
+2.8481E+01  +2.8651E-02  +7.7217E+00
+3.5112E+01  +2.3279E-02  +6.2594E+00
+4.3288E+01  +1.8877E-02  +4.7668E+00
+5.3368E+01  +1.5339E-02  +3.8331E+00
+6.5790E+01  +1.2449E-02  +2.9355E+00
+8.1110E+01  +1.0112E-02  +2.1372E+00
+1.0000E+02  +8.2099E-03  +1.4415E+00
+1.2329E+02  +6.6532E-03  +7.7636E-01
+1.5199E+02  +5.4215E-03  +2.4352E-01
+1.8738E+02  +4.3782E-03  -3.8003E-01
+2.3102E+02  +3.5482E-03  -9.9031E-01
+2.8481E+02  +2.8778E-03  -1.6322E+00
+3.5112E+02  +2.3332E-03  -2.3214E+00
+4.3288E+02  +1.8911E-03  -3.1606E+00
+5.3368E+02  +1.5323E-03  -4.1104E+00
+6.5790E+02  +1.2418E-03  -5.2176E+00
+8.1110E+02  +1.0056E-03  -6.5657E+00
