Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 161    Date: 29/04/02    Time: 01:19:51

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-04  9.9894E-01  +8.9943E+01
+1.3895E-04  9.9894E-01  +8.9920E+01
+1.9307E-04  9.9894E-01  +8.9889E+01
+2.6827E-04  9.9894E-01  +8.9846E+01
+3.7276E-04  9.9893E-01  +8.9786E+01
+5.1795E-04  9.9893E-01  +8.9703E+01
+7.1970E-04  9.9891E-01  +8.9588E+01
+1.0000E-03  9.9889E-01  +8.9427E+01
+1.3895E-03  9.9884E-01  +8.9204E+01
+1.9307E-03  9.9875E-01  +8.8894E+01
+2.6827E-03  9.9858E-01  +8.8463E+01
+3.7276E-03  9.9825E-01  +8.7865E+01
+5.1795E-03  9.9760E-01  +8.7035E+01
+7.1970E-03  9.9636E-01  +8.5884E+01
+1.0000E-02  9.9384E-01  +8.4304E+01 
+1.3895E-02  9.8922E-01  +8.2107E+01 
+1.9307E-02  9.7814E-01  +7.9144E+01 
+2.6827E-02  9.6386E-01  +7.5005E+01 
+3.7276E-02  9.3400E-01  +6.9619E+01 
+5.1795E-02  8.8356E-01  +6.2891E+01 
+7.1970E-02  8.1292E-01  +5.5171E+01 
+1.0000E-01  7.0840E-01  +4.4853E+01 
+1.3895E-01  5.8530E-01  +3.6022E+01 
+1.9307E-01  4.6073E-01  +2.7106E+01 
+2.6827E-01  3.5060E-01  +2.0314E+01 
+3.7276E-01  2.5941E-01  +1.4827E+01 
+5.1795E-01  1.8973E-01  +1.0698E+01 
+7.1970E-01  1.3758E-01  +7.5246E+00 
+1.0000E+00  9.9611E-02  +5.1121E+00 
+1.3895E+00  7.1786E-02  +3.2607E+00 
+1.9307E+00  5.1778E-02  +1.7932E+00 
+2.6827E+00  3.7283E-02  +4.9103E-01 
+3.7276E+00  2.6827E-02  -7.6122E-01 
+5.1795E+00  1.9296E-02  -2.0809E+00 
+7.1970E+00  1.3868E-02  -3.5935E+00 
+1.0000E+01  9.9549E-03  -5.5420E+00 
+1.3895E+01  7.1271E-03  -8.0992E+00 
+1.9307E+01  5.0805E-03  -1.1466E+01 
+2.6827E+01  3.5913E-03  -1.5841E+01 
+3.7276E+01  2.5007E-03  -2.1657E+01 
+5.1795E+01  1.6996E-03  -2.9019E+01 
+7.1970E+01  1.1105E-03  -3.7804E+01 
+1.0000E+02  6.9388E-04  -4.7520E+01 
+1.3895E+02  4.0896E-04  -5.7192E+01 
+1.9307E+02  2.3097E-04  -6.6127E+01 
+2.6827E+02  1.2619E-04  -7.4042E+01 
+3.7276E+02  6.7376E-05  -8.1110E+01 
+5.1795E+02  3.5332E-05  -8.8466E+01 
+7.1970E+02  1.1694E-05  -1.1880E+02 
+1.0000E+03  8.9359E-06  -1.0812E+02 
+1.3895E+03  4.4990E-06  -1.1780E+02 
+1.9307E+03  2.2324E-06  -1.2832E+02 
+2.6827E+03  1.0740E-06  -1.3832E+02 
+3.7276E+03  4.7709E-07  -1.4876E+02 
+5.1795E+03  1.8362E-07  -1.5882E+02 
+7.1970E+03  7.4821E-08  -1.6043E+02 
+1.0000E+04  3.5633E-08  -1.7126E+02 


FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+1.0000E-04  9.9894E-01  +8.9943E+01
+1.3895E-04  9.9894E-01  +8.9920E+01
+1.9307E-04  9.9894E-01  +8.9889E+01
+2.6827E-04  9.9894E-01  +8.9846E+01
+3.7276E-04  9.9893E-01  +8.9786E+01
+5.1795E-04  9.9893E-01  +8.9703E+01
+7.1970E-04  9.9891E-01  +8.9588E+01
+1.0000E-03  9.9889E-01  +8.9427E+01
+1.3895E-03  9.9884E-01  +8.9204E+01
+1.9307E-03  9.9875E-01  +8.8894E+01
+2.6827E-03  9.9858E-01  +8.8463E+01
+3.7276E-03  9.9825E-01  +8.7865E+01
+5.1795E-03  9.9760E-01  +8.7035E+01
+7.1970E-03  9.9636E-01  +8.5884E+01
+1.0000E-02  9.9384E-01  +8.4304E+01 
+1.3895E-02  9.8922E-01  +8.2107E+01 
+1.9307E-02  9.7814E-01  +7.9144E+01 
+2.6827E-02  9.6386E-01  +7.5005E+01 
+3.7276E-02  9.3400E-01  +6.9619E+01 
+5.1795E-02  8.8356E-01  +6.2891E+01 
+7.1970E-02  8.1292E-01  +5.5171E+01 
+1.0000E-01  7.0840E-01  +4.4853E+01 
+1.3895E-01  5.8530E-01  +3.6022E+01 
+1.9307E-01  4.6073E-01  +2.7106E+01 
+2.6827E-01  3.5060E-01  +2.0314E+01 
+3.7276E-01  2.5941E-01  +1.4827E+01 
+5.1795E-01  1.8973E-01  +1.0698E+01 
+7.1970E-01  1.3758E-01  +7.5246E+00 
+1.0000E+00  9.9611E-02  +5.1121E+00 
+1.3895E+00  7.1786E-02  +3.2607E+00 
+1.9307E+00  5.1778E-02  +1.7932E+00 
+2.6827E+00  3.7283E-02  +4.9103E-01 
+3.7276E+00  2.6827E-02  -7.6122E-01 
+5.1795E+00  1.9296E-02  -2.0809E+00 
+7.1970E+00  1.3868E-02  -3.5935E+00 
+1.0000E+01  9.9549E-03  -5.5420E+00 
+1.3895E+01  7.1271E-03  -8.0992E+00 
+1.9307E+01  5.0805E-03  -1.1466E+01 
+2.6827E+01  3.5913E-03  -1.5841E+01 
+3.7276E+01  2.5007E-03  -2.1657E+01 
+5.1795E+01  1.6996E-03  -2.9019E+01 
+7.1970E+01  1.1105E-03  -3.7804E+01 
+1.0000E+02  6.9388E-04  -4.7520E+01 
+1.3895E+02  4.0896E-04  -5.7192E+01 
+1.9307E+02  2.3097E-04  -6.6127E+01 
+2.6827E+02  1.2619E-04  -7.4042E+01 
+3.7276E+02  6.7376E-05  -8.1110E+01 
+5.1795E+02  3.5332E-05  -8.8466E+01 
+7.1970E+02  1.1694E-05  -1.1880E+02 
+1.0000E+03  8.9359E-06  -1.0812E+02 
+1.3895E+03  4.4990E-06  -1.1780E+02 
+1.9307E+03  2.2324E-06  -1.2832E+02 
+2.6827E+03  1.0740E-06  -1.3832E+02 
+3.7276E+03  4.7709E-07  -1.4876E+02 
+5.1795E+03  1.8362E-07  -1.5882E+02 
+7.1970E+03  7.4821E-08  -1.6043E+02 
+1.0000E+04  3.5633E-08  -1.7126E+02
