Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 161    Date: 29/04/02    Time: 01:19:51

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
5.579945e-004 2.003000e-002 8.999900e+001
7.783951e-004 2.003000e-002 8.999861e+001
1.085851e-003 2.003000e-002 8.999806e+001
1.514748e-003 2.003000e-002 8.999729e+001
2.113053e-003 2.003000e-002 8.999622e+001
2.947681e-003 2.003000e-002 8.999472e+001
4.111977e-003 2.003000e-002 8.999264e+001
5.736153e-003 2.003000e-002 8.998973e+001
8.001858e-003 2.003000e-002 8.998567e+001
1.116248e-002 2.003000e-002 8.998001e+001
1.557151e-002 2.003000e-002 8.997212e+001
2.172205e-002 2.003000e-002 8.996111e+001
3.030197e-002 2.003000e-002 8.994574e+001
4.227083e-002 2.003000e-002 8.992431e+001
5.896724e-002 2.003000e-002 8.989442e+001
8.225850e-002 2.003000e-002 8.985272e+001
1.147495e-001 2.003000e-002 8.979454e+001
1.600740e-001 2.003000e-002 8.971339e+001
2.233011e-001 2.003000e-002 8.960019e+001
3.115020e-001 2.003000e-002 8.944228e+001
4.000000e-001 2.003000e-002 8.925000e+001
5.871200e-001 2.002137e-002 8.890986e+001
8.618000e-001 2.000440e-002 8.854553e+001
1.264900e+000 2.000200e-002 8.790153e+001
1.856600e+000 2.004099e-002 8.676070e+001
2.725200e+000 1.997622e-002 8.533689e+001
4.000000e+000 1.990500e-002 8.321200e+001
5.871200e+000 1.981098e-002 8.009717e+001
8.618000e+000 1.937336e-002 7.566652e+001
1.264900e+001 1.872170e-002 6.936324e+001
1.856600e+001 1.743173e-002 6.130060e+001
2.725200e+001 1.556106e-002 5.105606e+001
4.000000e+001 1.288700e-002 4.005700e+001
5.871200e+001 9.917543e-003 2.892463e+001
8.618000e+001 7.295442e-003 2.123678e+001
1.264900e+002 5.154721e-003 1.443082e+001
1.856700e+002 3.568696e-003 9.550302e+000
2.725200e+002 2.451813e-003 5.908480e+000
4.000000e+002 1.677300e-003 3.331000e+000
5.871300e+002 1.144413e-003 1.122111e+000
8.618000e+002 7.798970e-004 -9.183927e-001
1.264900e+003 5.340837e-004 -3.107196e+000
1.856700e+003 3.641958e-004 -5.811397e+000
2.725200e+003 2.491044e-004 -9.710206e+000
4.000100e+003 1.701858e-004 -1.515842e+001
5.871300e+003 1.161655e-004 -2.330473e+001
8.618000e+003 7.786459e-005 -3.519152e+001
1.264900e+004 5.109241e-005 -5.388049e+001
1.856600e+004 3.061165e-005 -7.464538e+001
2.725200e+004 1.582660e-005 -1.188037e+002
4.000100e+004 7.026508e-006 -1.439842e+002
5.871300e+004 2.786525e-006 5.118839e+001
6.000000e+004 2.624800e-006 1.747700e+002


FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
4.000000e-001 1.033000e-002 1.494900e+002
5.558000e-001 1.295000e-002 1.406500e+002
7.723000e-001 1.544300e-002 1.310100e+002
1.073100e+000 1.749700e-002 1.214700e+002
1.491000e+000 1.893800e-002 1.129000e+002
2.071800e+000 1.986100e-002 1.052500e+002
2.878700e+000 2.036000e-002 9.878100e+001
4.000000e+000 2.058000e-002 9.299000e+001
5.558000e+000 2.053900e-002 8.746000e+001
7.723000e+000 2.042800e-002 8.172600e+001
1.073100e+001 1.993200e-002 7.519100e+001
1.491000e+001 1.910400e-002 6.775600e+001
2.071800e+001 1.776500e-002 5.904200e+001
2.878800e+001 1.567100e-002 4.912300e+001
4.000000e+001 1.316200e-002 3.944900e+001
5.558000e+001 1.039900e-002 3.035400e+001
7.723000e+001 8.048500e-003 2.270700e+001
1.073100e+002 6.011400e-003 1.654000e+001
1.491000e+002 4.411400e-003 1.199700e+001
2.071700e+002 3.209500e-003 8.215800e+000
2.878800e+002 2.324200e-003 5.418400e+000
4.000000e+002 1.678700e-003 3.293200e+000
5.558000e+002 1.210700e-003 1.454900e+000
7.723000e+002 8.714600e-004 -2.511400e-001
1.073100e+003 6.294300e-004 -2.086500e+000
1.491100e+003 4.541400e-004 -4.204200e+000
2.071800e+003 3.276300e-004 -6.869800e+000
2.878800e+003 2.363600e-004 -1.036200e+001
4.000000e+003 1.704900e-004 -1.509800e+001
5.558000e+003 1.229900e-004 -2.181000e+001
7.723000e+003 8.764200e-005 -3.132100e+001
1.073100e+004 6.161200e-005 -4.425700e+001
1.491000e+004 4.208800e-005 -6.257800e+001
2.071800e+004 2.603300e-005 -8.639800e+001
2.878800e+004 1.439000e-005 -1.144800e+002
4.000000e+004 7.076000e-006 -1.444600e+002
5.558100e+004 3.231000e-006 -1.775800e+002
6.000000e+004 2.626400e-006 1.743200e+002
