Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 162    Date: 29/04/02    Time: 03:25:31

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
5.579945e-004 2.003100e-002 8.999900e+001
7.783951e-004 2.003100e-002 8.999861e+001
1.085851e-003 2.003100e-002 8.999806e+001
1.514748e-003 2.003100e-002 8.999729e+001
2.113053e-003 2.003100e-002 8.999622e+001
2.947681e-003 2.003100e-002 8.999472e+001
4.111977e-003 2.003100e-002 8.999264e+001
5.736153e-003 2.003100e-002 8.998973e+001
8.001858e-003 2.003100e-002 8.998567e+001
1.116248e-002 2.003100e-002 8.998001e+001
1.557151e-002 2.003100e-002 8.997212e+001
2.172205e-002 2.003100e-002 8.996111e+001
3.030197e-002 2.003100e-002 8.994574e+001
4.227083e-002 2.003100e-002 8.992431e+001
5.896724e-002 2.003100e-002 8.989442e+001
8.225850e-002 2.003100e-002 8.985272e+001
1.147495e-001 2.003100e-002 8.979454e+001
1.600740e-001 2.003100e-002 8.971339e+001
2.233011e-001 2.003100e-002 8.960019e+001
3.115020e-001 2.003100e-002 8.944228e+001
4.000000e-001 2.003100e-002 8.924500e+001
5.871200e-001 2.001125e-002 8.891893e+001
8.618000e-001 2.000109e-002 8.846639e+001
1.264900e+000 2.001941e-002 8.774105e+001
1.856600e+000 2.001896e-002 8.673959e+001
2.725200e+000 1.992367e-002 8.526489e+001
4.000000e+000 1.987400e-002 8.311900e+001
5.871200e+000 1.974032e-002 7.996566e+001
8.618000e+000 1.938320e-002 7.545404e+001
1.264900e+001 1.876109e-002 6.921233e+001
1.856600e+001 1.750439e-002 6.102271e+001
2.725200e+001 1.544831e-002 5.076964e+001
4.000000e+001 1.281100e-002 3.980000e+001
5.871200e+001 9.721870e-003 2.926223e+001
8.618000e+001 7.243461e-003 2.100603e+001
1.264900e+002 5.102860e-003 1.437234e+001
1.856700e+002 3.541302e-003 9.582749e+000
2.725200e+002 2.432437e-003 6.022056e+000
4.000000e+002 1.662300e-003 3.414600e+000
5.871300e+002 1.134813e-003 1.284364e+000
8.618000e+002 7.757945e-004 -7.775153e-001
1.264900e+003 5.304898e-004 -2.900108e+000
1.856700e+003 3.626939e-004 -5.625946e+000
2.725200e+003 2.480566e-004 -9.439534e+000
4.000100e+003 1.695858e-004 -1.484342e+001
5.871300e+003 1.157026e-004 -2.287507e+001
8.618000e+003 7.778607e-005 -3.455491e+001
1.264900e+004 5.114837e-005 -5.314843e+001
1.856600e+004 3.078341e-005 -7.363727e+001
2.725200e+004 1.604982e-005 -1.176696e+002
4.000100e+004 7.191602e-006 -1.430643e+002
5.871300e+004 2.842114e-006 5.121806e+001
6.000000e+004 2.673200e-006 1.747800e+002


FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
4.000000e-001 1.036900e-002 1.490800e+002
5.558000e-001 1.297400e-002 1.402300e+002
7.723000e-001 1.543600e-002 1.306200e+002
1.073100e+000 1.745500e-002 1.210500e+002
1.491000e+000 1.884600e-002 1.124300e+002
2.071800e+000 1.972500e-002 1.050300e+002
2.878700e+000 2.024900e-002 9.856800e+001
4.000000e+000 2.044300e-002 9.283500e+001
5.558000e+000 2.049800e-002 8.735800e+001
7.723000e+000 2.026400e-002 8.159700e+001
1.073100e+001 1.980800e-002 7.514800e+001
1.491000e+001 1.899400e-002 6.766400e+001
2.071800e+001 1.756100e-002 5.884100e+001
2.878800e+001 1.551600e-002 4.911000e+001
4.000000e+001 1.305100e-002 3.943400e+001
5.558000e+001 1.043100e-002 3.029500e+001
7.723000e+001 7.981800e-003 2.271300e+001
1.073100e+002 5.958200e-003 1.653000e+001
1.491000e+002 4.379000e-003 1.190200e+001
2.071700e+002 3.190300e-003 8.288200e+000
2.878800e+002 2.307500e-003 5.529200e+000
4.000000e+002 1.663600e-003 3.397800e+000
5.558000e+002 1.200700e-003 1.553600e+000
7.723000e+002 8.672400e-004 -2.037200e-001
1.073100e+003 6.254800e-004 -1.916900e+000
1.491100e+003 4.515800e-004 -3.972100e+000
2.071800e+003 3.260400e-004 -6.601100e+000
2.878800e+003 2.354400e-004 -1.006200e+001
4.000000e+003 1.699200e-004 -1.476800e+001
5.558000e+003 1.225200e-004 -2.137900e+001
7.723000e+003 8.753600e-005 -3.072000e+001
1.073100e+004 6.165800e-005 -4.355700e+001
1.491000e+004 4.222500e-005 -6.176800e+001
2.071800e+004 2.624300e-005 -8.532700e+001
2.878800e+004 1.461300e-005 -1.133200e+002
4.000000e+004 7.243800e-006 -1.435400e+002
5.558100e+004 3.305600e-006 -1.774800e+002
6.000000e+004 2.676900e-006 1.743300e+002
